member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Cornyn (R-TX),Cornyn,John,R,TX,Yea,S287,0,280
Cotton (R-AR),Cotton,Tom,R,AR,Yea,S374,0,280
Crapo (R-ID),Crapo,Mike,R,ID,Yea,S266,0,280
Cruz (R-TX),Cruz,Ted,R,TX,Yea,S355,0,280
Daines (R-MT),Daines,Steve,R,MT,Yea,S375,0,280
Donnelly (D-IN),Donnelly,Joe,D,IN,Yea,S356,0,280
Durbin (D-IL),Durbin,Richard,D,IL,Nay,S253,0,280
Enzi (R-WY),Enzi,Mike,R,WY,Yea,S254,0,280
Ernst (R-IA),Ernst,Joni,R,IA,Yea,S376,0,280
Feinstein (D-CA),Feinstein,Dianne,D,CA,Nay,S221,0,280
Fischer (R-NE),Fischer,Deb,R,NE,Yea,S357,0,280
Flake (R-AZ),Flake,Jeff,R,AZ,Yea,S358,0,280
Franken (D-MN),Franken,Al,D,MN,Nay,S332,0,280
Gardner (R-CO),Gardner,Cory,R,CO,Yea,S377,0,280
Gillibrand (D-NY),Gillibrand,Kirsten,D,NY,Nay,S331,0,280
Graham (R-SC),Graham,Lindsey,R,SC,Not Voting,S293,0,280
Grassley (R-IA),Grassley,Chuck,R,IA,Yea,S153,0,280
Hatch (R-UT),Hatch,Orrin,R,UT,Yea,S118,0,280
Heinrich (D-NM),Heinrich,Martin,D,NM,Nay,S359,0,280
Heitkamp (D-ND),Heitkamp,Heidi,D,ND,Nay,S360,0,280
Heller (R-NV),Heller,Dean,R,NV,Yea,S352,0,280
Hirono (D-HI),Hirono,Mazie,D,HI,Nay,S361,0,280
Hoeven (R-ND),Hoeven,John,R,ND,Yea,S344,0,280
Inhofe (R-OK),Inhofe,Jim,R,OK,Yea,S236,0,280
Isakson (R-GA),Isakson,Johnny,R,GA,Yea,S305,0,280
Johnson (R-WI),Johnson,Ron,R,WI,Yea,S345,0,280
Kaine (D-VA),Kaine,Timothy,D,VA,Nay,S362,0,280
King (I-ME),King,Angus,I,ME,Nay,S363,0,280
Kirk (R-IL),Kirk,Mark,R,IL,Nay,S339,0,280
Klobuchar (D-MN),Klobuchar,Amy,D,MN,Nay,S311,0,280
Lankford (R-OK),Lankford,James,R,OK,Yea,S378,0,280
Leahy (D-VT),Leahy,Patrick,D,VT,Nay,S057,0,280
Lee (R-UT),Lee,Mike,R,UT,Yea,S346,0,280
Manchin (D-WV),Manchin,Joe,D,WV,Yea,S338,0,280
Markey (D-MA),Markey,Edward,D,MA,Nay,S369,0,280
McCain (R-AZ),McCain,John,R,AZ,Yea,S197,0,280
McCaskill (D-MO),McCaskill,Claire,D,MO,Nay,S312,0,280
McConnell (R-KY),McConnell,Mitch,R,KY,Yea,S174,0,280
Menendez (D-NJ),Menendez,Robert,D,NJ,Nay,S306,0,280
Merkley (D-OR),Merkley,Jeff,D,OR,Nay,S322,0,280
Mikulski (D-MD),Mikulski,Barbara,D,MD,Nay,S182,0,280
Moran (R-KS),Moran,Jerry,R,KS,Yea,S347,0,280
